treatment_bin,benefits,care_options,wellness_program,seek_help,anonymity,leave,mental_health_consequence,phys_health_consequence,mental_health_interview,phys_health_interview,mental_vs_physical,coworkers,supervisor,obs_consequence,Age,AgeGroup,Gender_simple,no_employees,remote_work
1,Yes,Yes,No,No,No,Very difficult,Maybe,No,No,Maybe,No,Yes,Yes,No,42,40-49,Female,100-500,No
0,Yes,Not sure,Yes,Unknown,Yes,Very easy,No,No,No,Yes,Yes,Yes,Yes,Yes,46,40-49,Male,1-5,Yes
1,Yes,Yes,No,No,Unknown,Unknown,Maybe,No,No,Maybe,No,Some of them,Yes,No,46,40-49,Male,26-100,Yes
1,Yes,Yes,Yes,Yes,Yes,Very easy,Maybe,No,Maybe,Yes,Unknown,Some of them,Some of them,No,42,40-49,Male,26-100,Yes
1,Yes,Yes,No,No,Unknown,Unknown,Maybe,No,No,Maybe,Yes,Some of them,No,No,40,40-49,Female,1-5,No
0,Yes,Yes,Yes,Yes,Unknown,Unknown,Yes,Maybe,No,No,No,Some of them,No,Yes,40,40-49,Male,More than 1000,Yes
1,No,Yes,No,No,Yes,Very difficult,No,No,Yes,Yes,No,Yes,Yes,No,40,40-49,Male,26-100,No
0,Yes,Not sure,Unknown,Unknown,Unknown,Unknown,Maybe,Maybe,No,No,Unknown,No,Some of them,No,44,40-49,Female,100-500,No
1,Yes,Yes,No,Yes,Yes,Very easy,No,No,Yes,Yes,Yes,Yes,Yes,No,45,40-49,Male,6-25,Yes
0,No,Yes,No,No,Unknown,Very difficult,Maybe,No,No,Maybe,No,Yes,Yes,No,42,40-49,Male,6-25,No
1,Yes,No,No,No,Yes,Somewhat difficult,No,No,No,No,Yes,Yes,Yes,No,45,40-49,Female,1-5,No
1,Unknown,Not sure,Unknown,Unknown,Unknown,Unknown,Yes,Yes,No,No,Unknown,Some of them,Some of them,No,45,40-49,Male,More than 1000,No
1,Yes,Not sure,No,Unknown,Unknown,Very difficult,Yes,Maybe,No,No,No,No,No,No,43,40-49,Male,More than 1000,Yes
1,No,Not sure,No,No,Unknown,Very difficult,Maybe,Maybe,Maybe,Maybe,Unknown,Some of them,Some of them,No,41,40-49,Male,6-25,Yes
0,Yes,Yes,Yes,Yes,Yes,Somewhat easy,No,No,No,No,Yes,Some of them,Yes,No,40,40-49,Female,26-100,No
1,Yes,Yes,No,Unknown,Unknown,Unknown,Maybe,Maybe,Maybe,Maybe,No,Some of them,No,No,41,40-49,Male,500-1000,Yes
1,Yes,Yes,Yes,Yes,Yes,Unknown,Yes,Maybe,No,Maybe,No,No,No,Yes,40,40-49,Male,More than 1000,Yes
0,No,Yes,No,Yes,Unknown,Somewhat easy,No,No,No,No,Yes,Some of them,Yes,No,42,40-49,Male,6-25,Yes
0,No,Not sure,No,No,Unknown,Somewhat easy,Maybe,No,Yes,Yes,Unknown,Yes,Yes,No,43,40-49,Male,6-25,Yes
1,Yes,Yes,Unknown,No,Unknown,Very easy,No,No,Yes,Yes,Yes,Yes,Yes,No,41,40-49,Male,26-100,Yes
